Row_Number,Gender,Location,Time,Race,Time_Spent_Homeless,Method_Found,Eligible,Preffered_Acommodation,Accepted_Acommodation
159,Male,Kings Norton,10AM,Pakistani,1-3 Months,Online,1,0,0
160,Male,Balsall Heath,4PM,Other,Less than a month,Referral,1,0,0
161,Female,Tyseley,10AM,European,4-6 Months,Online,1,1,1
162,Male,Erdington,12PM,White,Less than a month,Friend,1,1,1
163,Male,Perry Barr,4PM,Indian,4-6 Months,Referral,1,0,0
164,Female,Sparkbrook,10AM,Bangladeshi,Less than a month,Themselves,1,1,1
165,Male,Aston,4PM,European,1-3 Months,Friend,1,0,0
166,Male,Tyseley,10AM,White,1-3 Months,Themselves,0,1,0
167,Male,Mosely,2PM,European,7-12 months,Friend,0,0,0
168,Male,Acocks Green,4PM,European,1-3 Months,Online,1,0,0
169,Male,Other,12PM,Pakistani,More than 1 year,Referral,1,1,1
170,Male,Tyseley,10AM,Bangladeshi,More than 1 year,Phone,1,0,0
171,Male,Sparkhill,2PM,White,Less than a month,Phone,1,0,0
172,Male,Erdington,2PM,Pakistani,Less than a month,Other,1,1,1
173,Male,Balsall Heath,4PM,Pakistani,More than 1 year,Referral,1,1,1
174,Male,Stechford,10AM,Indian,4-6 Months,Referral,1,1,1
175,Female,Acocks Green,2PM,Bangladeshi,Less than a month,Online,1,0,1
176,Male,Sparkhill,2PM,White,1-3 Months,Friend,1,1,1
177,Male,Balsall Heath,4PM,Indian,1-3 Months,Phone,1,0,0
178,Male,Perry Barr,2PM,European,Less than a month,Other,1,1,1
179,Male,Sparkhill,10AM,Pakistani,Less than a month,Phone,1,0,1
180,Male,Bordesley Green,12PM,European,Less than a month,Referral,1,0,1
181,Male,Kings Norton,2PM,European,Less than a month,Phone,1,0,1
182,Male,Mosely,12PM,Pakistani,Less than a month,Other,1,0,1
183,Male,Tyseley,10AM,Indian,4-6 Months,Phone,1,0,1
184,Male,Sparkhill,2PM,European,1-3 Months,Phone,1,0,1
185,Male,Small Heath,4PM,European,7-12 months,Friend,1,1,0
186,Male,Stechford,4PM,Indian,4-6 Months,Referral,0,0,0
